,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
97,Fortuna,1,US,1569892115,66,40.6,-124.16,57.0,8.05
98,Pacific Grove,0,US,1569892062,39,36.62,-121.92,66.99,12.75
99,Esperance,40,AU,1569892115,82,-33.86,121.89,62.6,12.75
100,Victoria,75,BN,1569891839,83,5.28,115.24,80.6,2.24
101,Lebu,78,ET,1569892116,90,8.96,38.73,52.54,3.56
102,Cabedelo,20,BR,1569892116,78,-6.97,-34.84,77.0,6.93
103,Zemetchino,100,RU,1569892116,82,53.5,42.62,54.52,16.11
104,Barela,100,IN,1569892117,92,23.1,80.05,70.65,3.42
105,Guerrero Negro,0,MX,1569892117,74,27.97,-114.04,67.6,22.7
106,Garissa,31,KE,1569892117,81,-0.46,39.64,76.51,13.73
107,Carnarvon,22,ZA,1569892117,66,-30.97,22.13,45.36,11.27
108,Palanga,30,RO,1569892118,65,44.45,25.08,63.16,8.28
109,Okhotsk,65,RU,1569892118,38,59.36,143.24,41.13,5.61
110,Svetlogorsk,0,RU,1569891993,85,53.14,59.15,24.8,8.95
111,Kapaa,75,US,1569891957,66,22.08,-159.32,87.8,17.22
112,Anloga,20,GH,1569892119,94,5.79,0.9,75.2,8.28
113,Provideniya,90,RU,1569891930,87,64.42,-173.23,44.6,6.71
114,Mecca,32,SA,1569892042,48,21.43,39.83,83.5,4.18
115,Isla Vista,1,US,1569891825,39,34.41,-119.86,70.0,13.87
116,Altay,0,CN,1569892120,58,47.83,88.13,23.97,0.94
117,Santa Luzia,0,BR,1569891915,60,-19.77,-43.85,73.4,12.75
118,La Cruz,100,MX,1569892120,98,23.92,-106.89,73.0,4.0
119,Saint-Augustin,40,CA,1569892120,62,45.63,-73.98,53.01,5.82
120,Coreau,22,BR,1569892121,81,-3.53,-40.66,71.37,2.68
121,Okha,90,RU,1569892121,73,53.59,142.95,50.88,10.94
122,Port Elizabeth,90,US,1569891964,68,39.31,-74.98,68.0,4.7
123,Georgetown,20,GY,1569891881,83,6.8,-58.16,82.4,9.17
124,Zapolyarnyy,100,RU,1569892122,86,69.43,30.82,41.0,34.45
125,Zhanakorgan,75,KZ,1569892122,59,43.91,67.25,48.36,9.13
126,Zhetysay,82,KZ,1569892122,59,40.73,68.3,50.54,4.7
127,Yangambi,100,CD,1569892123,96,0.77,24.47,67.87,1.77
128,Gander,90,CA,1569892123,100,48.95,-54.61,41.0,17.22
129,East London,63,ZA,1569892123,83,-33.02,27.91,52.47,10.92
130,Port Alfred,66,ZA,1569892123,82,-33.59,26.89,59.0,5.01
131,Cabo San Lucas,90,MX,1569892104,78,22.89,-109.91,79.0,17.22
132,Lulea,100,SE,1569892124,100,65.58,22.15,41.0,6.93
133,Mayo,90,CA,1569892124,70,63.59,-135.9,42.8,4.7
134,Eirunepe,100,BR,1569892124,98,-6.66,-69.87,73.81,1.72
135,Mackay,20,CA,1569892125,52,53.65,-115.58,44.6,9.17
136,Namatanai,100,PG,1569892125,74,-3.66,152.44,81.25,7.87
137,Bilibino,100,RU,1569892044,91,68.06,166.44,25.65,2.66
138,Ancud,40,CL,1569892126,93,-41.87,-73.83,37.4,4.7
139,Kassala,100,SD,1569892126,71,15.45,36.38,76.62,15.79
140,Holme,40,DK,1569892126,81,56.11,10.17,45.0,9.17
141,Bathsheba,40,BB,1569892126,78,13.22,-59.52,82.4,11.41
142,Coahuayana,95,MX,1569892127,95,18.62,-100.35,71.92,1.9
143,Nerchinskiy Zavod,86,RU,1569892127,65,51.31,119.61,51.8,1.95
144,Souillac,90,FR,1569892107,93,45.6,-0.6,61.0,2.24
145,Nuuk,100,GL,1569892127,60,64.17,-51.74,44.6,6.93
146,Esna,2,RO,1569892128,59,45.2,27.57,66.47,7.34
147,Hasaki,75,JP,1569892128,73,35.73,140.83,79.0,6.93
148,Alta Floresta,41,BR,1569891927,84,-9.87,-56.08,74.12,2.42
149,Bubaque,23,GW,1569892129,77,11.28,-15.83,81.66,8.88
150,Santa Comba,75,ES,1569892129,93,43.03,-8.81,66.99,8.05
151,San Cristobal,94,HN,1569892129,84,14.68,-86.92,71.04,1.92
152,Los Llanos de Aridane,2,ES,1569892130,83,28.66,-17.92,71.6,12.75
153,Svarstad,0,NO,1569892130,56,59.4,9.97,43.0,9.17
154,Zhanjiang,0,CN,1569892130,75,21.2,110.4,77.83,2.98
155,Leningradskiy,99,RU,1569892131,63,69.38,178.42,37.31,4.72
156,Nouadhibou,90,MR,1569892131,93,20.93,-17.03,66.2,12.75
157,Kununurra,73,AU,1569892131,45,-15.77,128.74,87.8,6.93
158,Yarada,75,IN,1569892132,94,17.65,83.27,78.8,2.24
159,Beira,40,ES,1569892132,88,43.2,-8.36,66.99,9.17
160,Nevsehir,0,TR,1569892132,61,38.62,34.71,50.0,2.24
161,Airai,0,TL,1569892133,46,-8.93,125.41,83.3,1.97
162,Fredericksburg,90,US,1569892133,100,38.3,-77.46,71.01,4.7
163,Mazagao,20,BR,1569892133,83,-0.12,-51.29,84.2,10.29
164,Tasiilaq,43,GL,1569892133,64,65.61,-37.64,39.2,9.17
165,Bagdarin,68,RU,1569892134,80,54.44,113.59,37.09,4.68
166,Nome,1,US,1569892134,74,30.04,-94.42,82.99,4.7
167,Narsaq,90,GL,1569892134,25,60.91,-46.05,53.6,20.8
168,Portland,90,US,1569891730,71,43.66,-70.25,54.0,3.36
169,Camacha,40,PT,1569892135,73,33.08,-16.33,69.8,4.7
170,Bambous Virieux,79,MU,1569892135,83,-20.34,57.76,73.0,1.99
171,Thompson,90,CA,1569892135,51,55.74,-97.86,37.4,6.93
172,Coron,90,FR,1569892136,93,47.13,-0.65,66.0,6.93
173,Kavaratti,52,IN,1569892136,74,10.57,72.64,79.97,3.13
174,Rodrigues Alves,100,BR,1569892136,67,-7.74,-72.65,80.69,2.24
175,Kavieng,96,PG,1569892137,68,-2.57,150.8,83.93,8.81
176,Carora,98,VE,1569892137,87,10.17,-70.08,72.27,1.59
177,Katherine,84,AU,1569892137,31,-14.47,132.26,91.4,3.36
178,Harper,1,US,1569892137,61,30.3,-99.24,84.2,4.7
179,Cherskiy,100,RU,1569892138,93,68.75,161.3,29.98,13.87
180,Lavrentiya,71,RU,1569891944,83,65.58,-170.99,37.62,8.32
181,Praia,0,BR,1569892138,53,-20.25,-43.81,73.4,10.29
182,Houma,96,CN,1569892139,54,35.63,111.36,70.32,11.14
183,Kwinana,40,AU,1569892139,67,-32.25,115.77,66.0,9.17
184,Axim,88,GH,1569892139,92,4.87,-2.24,76.84,7.67
185,Akonolinga,45,CM,1569892140,99,3.77,12.24,65.57,2.1
186,Hobyo,16,SO,1569892140,91,5.35,48.53,74.98,10.18
187,Gemena,100,CD,1569892140,99,3.25,19.78,70.88,5.03
188,Sena Madureira,100,BR,1569892141,96,-9.07,-68.66,73.09,4.47
189,Oppdal,91,NO,1569892141,98,62.6,9.69,30.7,4.56
190,Nantucket,1,US,1569891925,87,41.28,-70.1,55.99,5.82
191,Port Hardy,20,CA,1569892141,54,50.7,-127.42,55.4,2.24
192,Mizan Teferi,84,ET,1569892142,96,6.99,35.58,59.94,2.77
193,Katangli,71,RU,1569892142,64,51.71,143.23,54.45,5.75
194,General Pico,71,AR,1569892142,20,-35.66,-63.75,60.78,12.93
195,Pujili,75,EC,1569892143,66,-0.95,-78.68,53.6,10.29
196,Teya,20,MX,1569892143,69,21.05,-89.07,82.4,4.7
197,Sioux Lookout,90,CA,1569892143,100,50.1,-91.92,42.8,5.82
198,Sambava,87,MG,1569892144,98,-14.27,50.17,69.62,1.59
199,Havoysund,75,NO,1569891865,80,71.0,24.66,41.0,33.33
200,Rio Gallegos,40,AR,1569892144,69,-51.62,-69.22,35.6,13.87
201,Chuy,96,UY,1569892145,85,-33.69,-53.46,68.29,2.64
202,Iskateley,100,RU,1569892145,93,67.68,53.15,36.77,3.22
203,Liverpool,100,GB,1569892145,93,53.41,-2.98,57.99,2.24
204,Talnakh,40,RU,1569892146,100,69.49,88.39,26.6,6.71
205,Russell,1,US,1569892146,58,38.9,-98.86,82.4,21.92
206,Kumluca,0,TR,1569891859,83,36.37,30.29,56.55,3.29
207,Guangyuan,100,CN,1569892146,88,32.43,105.86,70.0,2.24
208,Poum,0,MK,1569892059,87,41.28,20.71,50.0,1.32
209,Mount Gambier,0,AU,1569892147,62,-37.83,140.78,57.2,8.05
210,Tahe,98,CN,1569892147,88,52.34,124.71,43.39,3.06
211,Cabinda,46,AO,1569892148,82,-5.56,12.19,76.48,11.52
212,Tigil,96,RU,1569892148,65,57.8,158.67,44.24,26.49
213,Khalkhal,26,IR,1569892148,91,37.62,48.53,43.83,2.53
214,Graaff-Reinet,94,ZA,1569892149,69,-32.25,24.53,51.46,2.98
215,Taketoyo,20,JP,1569892149,83,34.83,136.91,87.01,5.82
216,Lydenburg,92,ZA,1569892149,81,-25.1,30.46,56.43,6.69
217,Waddan,0,LY,1569892149,68,29.16,16.14,67.66,7.34
218,Abu Dhabi,0,AE,1569892124,79,24.47,54.37,87.8,1.12
219,Saint Andrews,60,NZ,1569892150,48,-44.53,171.19,53.01,5.01
220,Egvekinot,88,RU,1569892107,84,66.32,-179.17,32.65,12.55
221,Lovozero,100,RU,1569892150,97,68.01,35.02,40.69,8.37
222,Naze,84,NG,1569892151,96,5.43,7.07,72.99,2.77
223,Pitimbu,20,BR,1569892151,78,-7.47,-34.81,77.0,6.93
224,Ozinki,86,RU,1569892151,79,51.2,49.73,48.87,13.11
225,Thessalon,90,CA,1569892151,93,46.26,-83.55,64.4,4.7
226,Voi,100,KE,1569892152,86,-3.4,38.57,70.95,3.96
227,Nara,40,JP,1569892020,69,34.68,135.8,84.0,8.05
228,Colares,40,PT,1569892152,82,38.8,-9.45,68.0,6.93
229,Mount Pleasant,1,US,1569892153,51,33.16,-94.97,84.2,3.36
230,Tadine,89,NC,1569892153,78,-21.55,167.88,72.23,15.84
231,Sakaiminato,75,JP,1569892153,78,35.55,133.23,77.0,9.17
232,Whitehorse,90,CA,1569891964,87,60.72,-135.06,46.4,16.11
233,Tikapur,94,NP,1569892154,93,28.53,81.12,71.42,3.8
234,Sarangani,91,PH,1569892154,74,5.4,125.46,82.49,7.63
235,Padang,100,ID,1569892154,86,-0.92,100.36,78.12,11.81
236,Coihaique,90,CL,1569892155,99,-45.58,-72.07,32.0,3.89
237,Wiltz,86,LU,1569892155,93,49.97,5.93,57.0,9.17
238,Praia da Vitoria,0,PT,1569892155,88,38.73,-27.07,66.2,3.06
239,Vryburg,0,ZA,1569892155,41,-26.96,24.73,44.94,11.01
240,Saint-Joseph,0,FR,1569891941,93,43.56,6.97,66.2,3.36
241,Waynesville,1,US,1569892099,69,37.83,-92.2,80.6,6.93
242,Aquiraz,0,BR,1569891886,74,-3.9,-38.39,78.8,6.93
243,San Quintin,100,PH,1569892036,83,17.54,120.52,78.19,3.47
244,Touros,20,BR,1569892133,83,-5.2,-35.46,75.2,6.93
245,Clyde River,90,CA,1569891990,100,70.47,-68.59,35.6,2.24
246,Santo Anastacio,0,BR,1569892157,29,-21.84,-51.61,77.0,4.7
247,Mehamn,99,NO,1569892157,82,71.03,27.85,38.75,26.4
248,Yulara,35,AU,1569892038,12,-25.24,130.99,86.0,11.41
249,Denpasar,40,ID,1569892158,88,-8.65,115.22,78.8,4.7
250,Minbu,100,MM,1569892158,90,20.18,94.88,71.82,2.84
251,Qaqortoq,90,GL,1569892158,25,60.72,-46.03,53.6,20.8
252,Kuching,75,MY,1569892159,94,1.56,110.34,77.0,0.34
253,Manaus,0,BR,1569892159,66,-3.13,-59.98,87.8,4.7
254,Anori,59,BR,1569892159,47,-3.74,-61.66,85.73,4.72
255,Nikolskoye,90,RU,1569892159,93,59.7,30.79,53.01,6.71
256,Atambua,0,ID,1569892160,73,-9.11,124.89,76.87,5.26
257,Guymon,1,US,1569892160,65,36.68,-101.48,80.6,27.51
258,Trairi,27,BR,1569892161,88,-3.28,-39.27,71.8,5.14
259,Roald,100,NO,1569892161,75,62.58,6.12,46.4,18.34
260,Rio Grande,9,BR,1569892017,86,-32.03,-52.1,70.0,3.0
261,Batesville,1,US,1569892079,66,35.77,-91.64,84.2,3.36
262,Bazarnyye Mataki,100,RU,1569892162,80,54.9,49.93,50.63,19.22
263,Rendsburg,75,DE,1569892162,93,54.3,9.66,53.01,3.36
264,La Ronge,75,CA,1569892162,69,55.1,-105.3,37.4,4.7
265,Shelburne,75,CA,1569892001,87,44.08,-80.2,60.8,9.17
266,Lasa,0,CY,1569892163,63,34.92,32.53,71.6,6.93
267,Whyalla,0,AU,1569892067,31,-33.04,137.58,73.4,9.17
268,Mozarlandia,83,BR,1569892163,47,-14.74,-50.57,83.26,4.32
269,Pevek,100,RU,1569891923,94,69.7,170.27,31.46,8.48
270,Kjollefjord,99,NO,1569892164,79,70.95,27.35,40.98,26.35
271,Saldanha,33,PT,1569892164,86,41.42,-6.55,62.96,3.56
272,Bonnyville,75,CA,1569892119,64,54.27,-110.74,39.2,4.7
273,Kiama,40,AU,1569891977,59,-34.67,150.86,64.99,6.93
274,Pisco,90,PE,1569892165,88,-13.71,-76.2,64.0,16.11
275,Opuwo,0,NA,1569892165,62,-18.06,13.84,52.43,1.83
276,Bouloupari,20,NC,1569892166,54,-21.87,166.05,80.6,12.75
277,Fortuna Foothills,1,US,1569892166,7,32.66,-114.41,86.0,14.99
278,Alpena,75,US,1569892057,100,45.06,-83.43,64.0,4.7
279,Gbadolite,100,CD,1569892167,97,4.28,21.0,70.2,3.71
280,Moron,87,HT,1569892132,75,18.56,-74.26,81.95,5.64
281,Cartagena,100,ES,1569892167,100,37.63,-1.0,72.0,2.24
282,Itoman,75,JP,1569892167,74,26.12,127.67,86.0,23.04
283,Ewa Beach,75,US,1569891965,74,21.32,-158.01,87.8,11.41
284,Pauini,91,BR,1569892168,97,-7.71,-67.0,73.92,5.21
285,Tervel,13,BG,1569892168,53,43.43,26.76,66.38,7.34
286,Brae,13,GB,1569892168,87,60.4,-1.35,44.6,9.17
287,Sao Joao da Barra,100,BR,1569891880,93,-21.64,-41.05,65.66,5.53
288,Ailigandi,100,PA,1569892169,75,9.23,-78.02,82.29,10.29
289,Dikson,71,RU,1569891984,83,73.51,80.55,29.59,13.22
290,Puerto Leguizamo,70,CO,1569892169,67,-0.19,-74.78,81.18,1.97
291,Boden,100,SE,1569892170,100,65.83,21.69,41.0,6.93
292,Harij,100,IN,1569892170,88,23.69,71.9,75.7,5.64
293,Nishihara,40,JP,1569891974,69,35.74,139.53,82.99,3.36
294,Codrington,90,AU,1569892170,60,-28.95,153.24,71.6,10.29
295,Mogadishu,88,SO,1569892171,90,2.04,45.34,75.31,5.68
296,Pantai Remis,75,MY,1569892083,100,4.46,100.63,75.2,2.24
297,Acapulco,90,MX,1569891944,74,16.86,-99.88,80.6,5.82
298,Gat,53,SN,1569892171,88,14.69,-16.54,80.6,10.29
299,Manado,20,ID,1569892162,48,1.49,124.85,87.8,4.7
300,Palestine,1,US,1569891907,66,31.76,-95.63,86.0,6.93
301,Tymovskoye,83,RU,1569892172,69,50.85,142.66,53.4,3.74
302,Sorong,23,ID,1569892172,73,-0.86,131.25,81.99,3.78
303,Saint George,0,GR,1569892173,68,39.45,22.34,64.4,3.36
304,Khilok,97,RU,1569892173,85,51.36,110.46,38.98,10.27
305,Mocuba,89,MZ,1569892173,61,-16.84,36.99,77.76,4.18
306,Hualmay,48,PE,1569892173,91,-11.1,-77.61,62.11,14.27
307,Kaitangata,28,NZ,1569891961,53,-46.28,169.85,48.99,11.01
308,Mukhen,79,RU,1569892174,80,48.19,136.14,55.67,5.91
309,Itarema,10,BR,1569892174,81,-2.92,-39.92,75.38,10.29
310,Haines Junction,100,CA,1569892175,90,60.75,-137.51,42.49,4.12
311,Sol-Iletsk,7,RU,1569892175,61,51.16,55.0,43.5,12.84
312,Christchurch,98,NZ,1569892175,66,-43.53,172.64,51.01,17.22
313,Avera,40,US,1569892176,94,33.19,-82.53,84.99,2.93
314,Mareeba,75,AU,1569892176,54,-16.99,145.42,86.0,11.41
315,Pangoa,57,PE,1569892177,79,-12.12,-73.0,73.87,2.59
316,Chumikan,76,RU,1569892177,68,54.72,135.31,41.09,4.5
317,Pryazha,69,RU,1569892177,100,61.69,33.62,48.2,2.24
318,Nenagh,40,IE,1569892178,93,52.86,-8.2,55.4,8.05
319,Coihueco,75,CL,1569892178,81,-36.63,-71.83,46.4,6.93
320,Moose Factory,90,CA,1569892178,93,51.26,-80.61,41.0,11.41
321,Pustoshka,100,RU,1569892179,99,56.34,29.37,52.77,3.53
322,Cayenne,37,GF,1569892047,88,4.94,-52.33,78.8,3.53
323,Port Lincoln,0,AU,1569891985,63,-34.72,135.86,63.5,10.04
324,Khislavichi,99,RU,1569892180,93,54.19,32.16,53.6,16.28
325,Lagoa,0,PT,1569892180,77,37.14,-8.45,66.0,4.7
326,Ladybrand,0,ZA,1569892180,76,-29.19,27.46,35.76,9.08
327,Tuktoyaktuk,75,CA,1569892181,76,69.44,-133.03,48.2,12.75
328,Richards Bay,100,ZA,1569892181,69,-28.77,32.06,65.79,20.04
329,Pimentel,28,BR,1569892181,71,-3.7,-45.5,79.99,4.05
330,Sola,70,TZ,1569892020,68,-3.17,33.8,71.62,5.39
331,Tevaitoa,87,PF,1569892182,78,-16.78,-151.5,77.07,20.0
332,Coleraine,0,AU,1569892183,74,-37.6,141.69,54.34,8.97
333,Ponta do Sol,2,BR,1569892183,56,-20.63,-46.0,69.1,4.54
334,At-Bashi,71,KG,1569892021,88,41.17,75.81,36.36,2.33
335,Dicabisagan,77,PH,1569892183,84,17.08,122.42,79.39,1.25
336,Tautira,20,PF,1569892184,61,-17.73,-149.15,82.4,8.05
337,Moses Lake,90,US,1569892184,37,47.13,-119.28,53.6,6.93
338,Buala,91,SB,1569892184,80,-8.15,159.59,81.03,8.75
339,Alekseyevsk,95,RU,1569892184,81,57.84,108.35,30.38,1.83
340,Hambantota,20,LK,1569892150,100,6.12,81.12,73.4,4.7
341,Victor Harbor,0,AU,1569892185,23,-35.55,138.62,73.4,16.11
342,Leh,4,IN,1569892185,61,34.16,77.58,33.73,6.53
343,Paragominas,45,BR,1569891951,87,-3.0,-47.35,75.11,2.66
344,Nanortalik,100,GL,1569892186,57,60.14,-45.24,42.84,9.24
345,Balkanabat,49,TM,1569892186,32,39.51,54.36,67.21,5.66
346,Soyo,87,AO,1569892186,81,-6.13,12.37,76.21,9.62
347,Kudahuvadhoo,100,MV,1569892186,79,2.67,72.89,79.43,8.7
348,Pontes e Lacerda,61,BR,1569892187,72,-15.23,-59.33,77.92,3.71
349,Severo-Kurilsk,33,RU,1569892187,78,50.68,156.12,45.19,15.9
350,Ville-Marie,90,CA,1569892188,93,47.33,-79.44,50.0,12.75
351,Beringovskiy,75,RU,1569892188,78,63.05,179.32,45.05,10.67
352,Troitskoye,20,RU,1569892188,80,52.98,84.68,28.99,1.74
353,Maningrida,10,AU,1569892189,44,-12.05,134.23,87.3,8.81
354,Komsomolskiy,100,RU,1569892124,95,67.55,63.78,30.63,10.2
355,Santa Maria,0,BR,1569892190,50,-16.02,-48.01,78.8,2.24
356,Raudeberg,84,NO,1569892057,66,61.99,5.14,48.2,21.92
357,Labuhan,100,ID,1569892190,63,-2.54,115.51,79.99,0.72
358,Barra,40,GM,1569892191,88,13.49,-16.54,80.6,5.59
359,Oussouye,0,SN,1569892191,94,12.49,-16.54,80.6,5.23
360,Rapid Valley,90,US,1569892191,81,44.06,-103.15,45.0,19.46
361,Taltal,8,CL,1569892192,88,-25.41,-70.49,51.66,0.98
362,Sorland,87,NO,1569892192,71,67.67,12.69,45.91,11.25
363,Mackenzie,40,CA,1569892192,37,55.34,-123.09,51.8,5.82
364,Ilulissat,89,GL,1569892193,64,69.22,-51.1,32.0,2.24
365,Bangangte,100,CM,1569892193,99,5.14,10.52,66.34,3.56
366,Pipraich,75,IN,1569892193,100,26.83,83.53,73.4,3.36
367,Kungurtug,100,RU,1569892194,95,50.6,97.53,22.84,3.09
368,Rorvik,0,NO,1569892194,56,64.86,11.24,44.11,8.14
369,Terrace,75,CA,1569892072,43,54.52,-128.61,55.4,11.41
370,Donji Milanovac,83,RS,1569892195,88,44.46,22.15,57.49,3.8
371,Zverinogolovskoye,0,RU,1569892195,74,54.46,64.85,34.5,7.9
372,Xihua,33,CN,1569892195,60,33.79,114.53,70.86,9.53
373,Nago,51,IT,1569892196,88,45.88,10.89,70.0,3.36
